Category,Question,Answer
Lisans/Önlisans Öğrenci İşleri,Transkriptimi (Not Durum Belgesi) nasıl alırım?," Aşağıdaki işlemler yapılarak SIS (Öğrenci Sayfası) üzerinden Not Durum Belgesi (Transcript) talep edilebilir.“SIS (Öğrenci Sayfası)”e girilir. “Belge Talep (Document Request)” menüsüne girilir.“Transcript” opsiyonu seçildikten sonra, “Yeni Belge (New Request)” butonuna basılır ve açıklamalar okunup onaylama kutucuğu işaretlendikten sonra “Kaydet (Save)” butonuna basılır. Transkript talepleriniz her başvurunuz için tek bir dosyada hem Türkçe hem de İngilizce olarak Elektronik Belge Yönetim Sistemi (EBYS) üzerinden adreslerinize (……@bilgiedu.net) e-posta olarak gönderilecektir. Öğrenci İşleri tarafından basılı belge teslimi yapılmayacaktır"
Lisans/Önlisans Öğrenci İşleri,Başarı sıramı nasıl öğrenebilirim?," Başarı sıranızı Öğrenci İşleri Ofisi’nden öğrenebilir ya da Öğrenci Sayfanız’dan belge talep linkini kullanarak, “diğer” seçeneğinden açıklama yaparak yazılı olarak talepte bulunabilirsiniz."
Lisans/Önlisans Öğrenci İşleri,(Erkek öğrenciler için) Askerlik ertelemem için ne yapmam gerekli?," Erkek öğrencilerimizin askerlik hizmeti , 28 yaşına kadar öğrencilik haklarının devam etmesi koşuluyla ertelenebilmektedir. Bunun için öğrencilerimizin ilgili dönem ve yıl için ders kayıtlarını yapmış olması gerekmektedir."
Lisans/Önlisans Öğrenci İşleri,Kaydımı nasıl dondurabilirim?," Kayıt dondurma şartları Kredili Sistem Lisans ve Önlisans Öğretim ve Sınav Yönetmeliği’nin ilgili maddesi tarafından belirlenmektedir. Bu maddeye istinaden, ağır ve sürekli hastalık, askerlik, tutukluluk veya hükümlülük gibi Üniversite’ye gelmeyi engelleyen durumlarda, gerekli belgeler sunularak kayıt dondurma işlemi yapılabilir. İngilizce Dil Hazırlık Programı da dahil olmak üzere tüm öğrenim süresi içinde toplam dört yarıyıl kayıt dondurulabilir. Kayıt, en az bir yarıyıl için dondurulur."
Lisans/Önlisans Öğrenci İşleri,Ne zamana kadar kayıt dondurma başvurusunda bulunabilirim?," Kayıt dondurma başvuruları şahsen, ara sınavların başlamasından bir hafta öncesine kadar yapılabilir."
Lisans/Önlisans Öğrenci İşleri,Kaç dönem kayıt dondurabilirim?, Öğrenim yaşamınız boyunca en çok 4 dönem ve üst üste en fazla 2 dönem kayıt dondurabilirsiniz.
Lisans/Önlisans Öğrenci İşleri,Kaydımı nasıl sildirebilirim?," Kayıt sildirme işlemleri için şahsen başvurmanız ya da sizin adınıza noterden vekalet verdiğiniz kişinin başvurması gerekir. santralistanbul Kampüsü Öğrenci İşleri Ofisi’ne başvurup bir form doldurarak, aynı gün içinde belgelerinizi teslim alabilirsiniz."
Lisans/Önlisans Öğrenci İşleri,"Almakla yükümlü olduğum kredileri, müfredatı nereden görebilirim?", Öğrenci Sayfanız’da “Registration Status” başlığı altında görebilirsiniz.
Lisans/Önlisans Öğrenci İşleri,Derslerin içerikleri hakkında nerden bilgi alabilirim?, Öğrenci Sayfanız’da “Course Catalog” başlığı altından arama yaparak bulabilirsiniz.
Lisans/Önlisans Öğrenci İşleri,Derslere devam zorunluluğu var mı?," Yönetmeliğimize göre öğrencilerimiz, kayıtlı oldukları her türlü ders, uygulama, laboratuvar çalışmaları ve bunların gerektirdiği veya ilgili öğretim elemanının gerekli gördüğü sınav ve diğer akademik çalışmaların hepsine katılmakla yükümlüdürler. Öğrencilerin devam durumları dersin öğretim elemanı tarafından değerlendirilir."
Lisans/Önlisans Öğrenci İşleri,"Aldığım bir dersten başarısız olursam, ne yapmalıyım?"," Zorunlu bir dersten F notu alan öğrenci, bu dersi kredi yüküne ve ders seçimine ilişkin kurallar dahilinde, açıldığı ilk dönem tekrarlamak zorundadır. Seçimlik bir dersten F notu alan öğrenci, bu dersi tekrarlar veya bu dersin yerine bir başka seçimlik ders alabilir."
Lisans/Önlisans Öğrenci İşleri,Daha önceden aldığım ve başarılı olduğum bir dersi tekrar edebilir miyim?," Öğrenciler koşullu geçer ( D, D+, C-) not almış oldukları dersleri tekrar edebilirler. Ancak C ve üzeri bir not aldığınız dersi hiçbir koşulda tekrar edemezsiniz."
Lisans/Önlisans Öğrenci İşleri,"Ders muafiyeti nedir, nasıl ders muafiyeti alabilirim?"," İstanbul Bilgi Üniversitesi öğrencisi iken daha önce başka bir yüksek öğretim kurumunda veya İstanbul Bilgi Üniversitesi’nde almış olduğunuz aynı /eşdeğer dersler için ders muafiyeti ilgili Fakülte Yönetim Kurulu’na yazılmış dilekçe, resmi not dökümü (official transcript) ve onaylı ders içerikleri ile Öğrenci İşleri Ofisi’ne başvurabilirsiniz. Başvurunuz Fakülte Yönetim Kurulu tarafından değerlendirilerek karara bağlanır."
Lisans/Önlisans Öğrenci İşleri,Başka bir üniversiteden ders almam mümkün mü?," Başka yüksek öğretim kurumlarından alınabilecek azami ders ve kredi sayısı, ders alınması için asgari Genel Not Ortalaması, hangi yarıyıl, sınıf veya durumdaki öğrencilerin ders alabilecekleri, koşullu geçer notlu derslerin alınıp alınamayacağı gibi koşulları belirleme konusunda, öğrencisi olduğunuz Fakülte/Yüksek Okul/Meslek Yüksek Okulu Yönetim Kurulları yetkilidir."
Lisans/Önlisans Öğrenci İşleri,Bir dersin öğretim elemanına nasıl ulaşabilirim?," Öğrenci Sayfanız’da sağ üst köşede “Search” adımından ilgili öğretim elemanının isim ve soyadını yazarak iletişim bilgileri, verdiği dersler ve programına ulaşabilirsiniz."
Lisans/Önlisans Öğrenci İşleri,Ders kaydımı nasıl yapabilirim?," Ders kayıt dönemleri Akademik Takvim’de belirtilmiştir. Öğrencilerimizin güz ve bahar dönemlerinde kayıt yapmaları zorunludur. Önceden randevu almak koşuluyla belirtilen hafta içinde Öğrenci Sayfanızdan online olarak ders kaydı yapabilirsiniz. Ders kaydı yapmanız için üç randevu opsiyonunuz bulunmaktadır. Birincisi ilk randevuyu aldığınız gün ve saat, ikincisi aynı gün öğleden sonrası için randevu alabilirsiniz, son hakkınız kaydın son günü öğleden sonrasıdır. Ders kayıtları haftasında web sayfamızda ve öğrenci sayfalarında verilen sunumları izlemenizi öneririz."
Lisans/Önlisans Öğrenci İşleri,Ders programımı ne zaman ve nereden görebilirim?," Ders programları, ders kayıt haftasından bir hafta önce web üzerinden açıklanır. Ders programları ve derslerin alınması için aranan koşulları, Öğrenci Sayfanız’da ayrıntılı şekilde bulabilirsiniz. İlgili döneme ait ders programınızı Öğrenci Sayfanız’dan alabilirsiniz."
Lisans/Önlisans Öğrenci İşleri,Ders kaydıma nasıl onay alabilirim?, Ders kayıtları akademik danışmanlar tarafından onaylanır. Yapmış olduğunuz ders kaydına ders kayıt sürecinin sonuna kadar Akademik Danışmanınızdan onay almanız gerekir.
Lisans/Önlisans Öğrenci İşleri,Akademik danışman kimdir?," Her öğrenciye 1.sınıftan itibaren kayıtlı bulunduğu bölümün önerisi üzerine ilgili fakülte yönetim kurulu tarafından bir danışman görevlendirilir. Öğrencilerimiz her akademik dönem başında, ders programlarını akademik danışmanlarına onaylatırlar. Öğrencilerin başarı durumlarına göre fazla ders almak ya da ilgi alanlarına göre seçmeli derslere yönlendirilmeleri akademik danışmanlar tarafından yapılır. Ders programlarındaki her türlü değişiklik akademik danışmanlar tarafından onaylanır."
Lisans/Önlisans Öğrenci İşleri,Bir dönemde en az ve en fazla kaç kredi alabilirim?," Öğrencilerin yarıyıllık olağan kredi yükü otuz (30) kredidir. Yaz Okulu hariç olmak üzere, azami kredi yükü bir akademik yılda seksen (80) kredidir, ancak bir yarıyılda kırk iki (42) kredi aşılamaz. Birinci ve ikinci yarıyıldaki lisans-önlisans öğrencileri ilgili yönetmelikte belirlenen özel haller dışında olağan kredi yükünü aşamaz."
Lisans/Önlisans Öğrenci İşleri,Ön koşul (prerequisite) nedir?, Öğrencilerin programında yer alan bazı derslerin alınabilmesi için daha önceden alınmış ve geçilmiş olması gereken dersleridir. SIS (Öğrenci Sayfası) üzerindeki COURSE CATALOG başlığından derslerin içerikleri ve varsa kısıtları/koşulları görülebilir.
Lisans/Önlisans Öğrenci İşleri,Özel izin (Consent) nedir?," Bazı dersler özel bilgi birikimi gerektirebilir. Bu dersler için özel izin (consent) gerekir. İlgili dersin öğretim elemanıyla görüşerek “consent” alabilirsiniz. Ancak, “consent” almak derste yer açıldığı anlamına gelmez."
Lisans/Önlisans Öğrenci İşleri,"Öğrenim ücretini ders kayıtlarından sonra ödersem, derslere kayıt yaptırabilir miyim?"," Öğrenim ücretini ödemeden ders kaydınızı yapabilmeniz mümkün değildir. Bu nedenle, en geç ders kaydı haftası öncesine kadar kayıt ücretinizi yatırmış olmanız gerekir. Geç ders kaydı için ara sınavların başlamasından bir hafta öncesine kadar dilekçe verebilirsiniz. Dilekçeleriniz Üniversite Yönetim Kurulu’nda kabul edildikten sonra ders kaydınızı yapabilirsiniz. Geç ders kayıtları en erken add-drop döneminin bitiminden itibaren yapılabilir."
Lisans/Önlisans Öğrenci İşleri,Ders kayıtlarından sonra bir dersi bırakıp başka bir ders almak istiyorum. Nasıl ve ne zaman bu değişikliği yapabilirim?," Öğrenciler kayıtlı bulundukları derslerden seçimlik olanlarını Akademik Takvim’deki “Ders Ekleme-Ders Bırakma” dönemi içinde, danışmanlarının onayı ile değiştirebilir, bırakabilir veya yeni seçimlik ders alabilirler."
Lisans/Önlisans Öğrenci İşleri,Aldığım bir dersten nasıl ve ne zamana kadar çekilebilirim (withdrawal)?, Dersten çekilme işlemleri sadece seçimlik dersler için ve sadece Akademik Takvim’de belirlenen süre içinde yapılabilir. Dersten çekilme işleminizi Öğrenci Sayfanız’dan yapabilirsiniz. F aldığınız seçmeli dersleri bırakamazsınız.
Lisans/Önlisans Öğrenci İşleri,Ara ve final sınav programımı ne zaman ve nereden görebilirim?,Akademik Takvim’de belirtilen sınav tarihlerinden önce Öğrenci Sayfanız’da “View Exam” başlığı altından görebilirsiniz.
Lisans/Önlisans Öğrenci İşleri,"Bütünleme sınavı nedir, kimler girebilir."," Yükseköğretim mevzuatı uyarınca öğrenciye başarısız olduğu dersten bütünleme sınav hakkının verildiği hallerde kullanılır. Bütünleme sınavında alınan not, nihai notun hesaplanmasında final sınavı notu yerine geçer. Yarıyıl sonu sınavına kabul koşullarını yerine getirmemiş öğrenciler bütünleme sınavına katılamaz."
Lisans/Önlisans Öğrenci İşleri,"Mazeret sınavı nedir, kimler başvurabilir?"," Final ve bütünleme sınavı için mazeret sınavı bütünleme sınavı sonrasında yapılır. Mazeret başvurusu, sadece final sınavı ve yükseköğretim mevzuatı uyarınca bütünleme sınav hakkının verildiği hallerde bütünleme sınavı için yapılabilir. Ancak hem final hem de bütünleme sınavı için mazeret başvurusu yapılmaz. Mazeret başvurusu, mazeretin kalktığı tarihi, sağlık nedenlerinde ise rapor süresinin bitimini izleyen üç gün içinde, matbu mazeret formu doldurularak ve gerekli belge ve rapor eklenerek Öğrenci İşleri Müdürlüğüne yapılır. Gerekli hallerde, belgelerin tamamlanması veya ibrazı için ilgili dekanlığın onayıyla ek süre verilebilir. Bu sürelerden sonra yapılan mazeret başvuruları dikkate alınmaz. Öğrenci İşleri Müdürlüğü, başvuru süresinin ve verilmişse ek sürenin sonunda mazeret belgelerini; öğrenciye ilişkin bilgilerin, mazeret nedeninin ve talep edilen mazeret süresinin yer aldığı bir toplu liste ekinde Mazeret Komisyonuna iletir. Mazeret Komisyonu, yaptığı değerlendirme sonucunda aldığı kararları, Üniversite Yönetim Kuruluna sunar. Üniversite Yönetim Kurulu tarafından onaylanan kararlar, Üniversite binalarında uygun şekilde ilan edilir. Mazeret başvurularına ilişkin kararlara karşı, ilan tarihini izleyen günden başlamak üzere üç gün içinde ğrenci İşleri Müdürlüğüne başvurularak itiraz edilebilir. İtirazlar, Üniversite Yönetim Kurulu tarafından değerlendirilir ve haklı nedenlerin bulunması halinde kabul edilir. itiraz üzerine verilen kararlar kesindir. Mazeretlere ilişkin nihai kararlar gerekli işlemlerin yapılması için ilgili fakülte dekanlıklarına bildirilir. Mazeret bavurusu kabul edilen öğrencilere, mazeret sınavı hakkı ilgili yarıyıl içinde kullandırılır. Mazeret sınavına ilişkin ayrıntılar, ilgili öğretim üyesi ya da dekanlık tarafından belirlenir."
Lisans/Önlisans Öğrenci İşleri,Notlarımı ne zaman ve nereden görebilirim?," Final sınavı notlarınızı Akademik Takvim’de belirtilen notların ilan günü itibariyle Öğrenci Sayfanız’da “Grades” başlığı altında görebilirsiniz. Ara sınav notlarınız ise, ilgili öğretim elemanı tarafından BİLGİ Online sayfasında açıklanmaktadır."
Lisans/Önlisans Öğrenci İşleri,Notlarıma nasıl itiraz edebilirim?, Notların ilanını izleyen 3 iş günü içinde “Maddi İtiraz Formu”nu doldurarak Öğrenci İşleri Ofisi’ne şahsen başvuruda bulunabilirsiniz.
Lisans/Önlisans Öğrenci İşleri,Dönem not ortalaması (semester GPA) nedir?, Bir akademik dönem sonundaki not ortalamasına denir. Detaylı bilgi için: İstanbul Bilgi Üniversitesi Kredili Sistem Lisans-Önlisans Öğretim ve Sınav Yönetmeliği Madde 24.
Lisans/Önlisans Öğrenci İşleri,Genel Not Ortalaması (GPA) nedir?, Bulunduğunuz döneme kadar almış olduğunuz tüm derslerin not ortalamasına denir. Detaylı bilgi için: İstanbul Bilgi Üniversitesi Kredili Sistem Lisans-Önlisans Öğretim ve Sınav Yönetmeliği Madde 24
Lisans/Önlisans Öğrenci İşleri,Tek ders sınavı nedir?," Genel not ortalamaları en az 2,00 olup mezuniyet koşullarını yalnızca bir dersten (F) notu almış oldukları için yerine getiremeyen öğrencilere bu ders için ek bir sınav hakkı verilir. Genel not ortalamaları 2,00' nin altında olup yalnızca bir dersten (F) notu bulunan öğrencilere, bu dersten başarılı olmaları halinde genel not ortalamalarının 2,00 veya üstüne yükselmesi koşuluyla ek bir sınav hakkı verilir. Bu sınavda, en yüksek not bakımından bir kısıtlama uygulanmaz ve sınav sonucunda alınan not eski notun yerine geçer. Ek sınavda başarısız olan veya genel not ortalamalarını 2,00 veya üstüne çıkaramayan öğrenciler ders tekrarına ilişkin kurallara tabi olurlar."
Lisans/Önlisans Öğrenci İşleri,Ortalama yükseltme sınavı nedir?," Tüm derslerden başarılı olmalarına rağmen, mezuniyet koşullarını yalnızca genel not ortalamalarının 2,00’nin altında olması yüzünden tamamlayamamış olan öğrencilere, kendi seçecekleri bir dersten, genel not ortalamalarını 2,00 veya üstüne yükseltebilecek olmaları koşuluyla bir sınav hakkı verilir. Bu sınavda, en yüksek not bakımından bir kısıtlama uygulanmaz ve sınav sonucunda alınan not eski notun yerine geçer. Ek sınavda başarısız olan veya genel not ortalamalarını 2,00 veya üstüne çıkaramayan öğrenciler ders tekrarına ilişkin kurallara tabi olurlar."
Lisans/Önlisans Öğrenci İşleri,Sınamalı (“on probation”) durumdaki öğrenci kimdir?," Herhangi bir yarıyıl sonunda Genel Not Ortalaması 1.75 in altında olan öğrenciler, izleyen yarıyıl boyunca sınamalı öğrenci sayılır. Sınamalı öğrenciye olağan kredi yükünden fazla kredi verilmez."
Lisans/Önlisans Öğrenci İşleri,Başarısız (“unsatisfactory”) durumdaki öğrenci kimdir?," İki yarıyıl üst üste Genel Not Ortalamasını 1.75’in üzerine çıkaramayan öğrenciler, izleyen yarıyılda başarısı yetersiz öğrenci sayılır. Bu öğrenciler en fazla 30 kredilik ders alabilir. Öncelikli olarak o dönem açılan F derslerini tekrar etmek zorundadırlar.İki yarıyıl üst üste Genel Not Ortalamasını 1.75’in üzerine çıkaramayan öğrenciler, izleyen yarıyılda başarısı yetersiz öğrenci sayılır. Bu öğrenciler en fazla 30 kredilik ders alabilir. Öncelikli olarak o dönem açılan F derslerini tekrar etmek zorundadırlar."
Lisans/Önlisans Öğrenci İşleri,Mezuniyet şartları nelerdir?," Programının müfredatını en az 2,00 not ortalamasıyla tamamlayan ve genel not ortalaması da 2.00 ve üzeri olan öğrenciler mezuniyete hak kazanırlar."
Lisans/Önlisans Öğrenci İşleri,Diplomamı ne zaman ve nereden alabilirim?," Mezun olan öğrencilerimize ait diploma, diploma eki belgeniz e-imzalı olarak hazırlanıp ve Üniversitemiz Elektronik Belge Yönetim Sistemi (EBYS) üzerinden adreslerinize (……@bilgiedu.net) e-posta olarak gönderilmektedir. İhtiyacınız halinde size gönderilen diploma ve/veya belgenizi isteyen kurumlara e-posta olarak gönderebilirsiniz. Diplomanızı basılı belge olarak almak isterseniz SIS öğrenci sayfası belge talep’ten diğer seçeneğini seçerek talepte bulunmanız gerekir. E-imzalı diploma uygulaması nedeniyle ayrıca geçici mezuniyet belgesi hazırlanmamaktadır."
Lisans/Önlisans Öğrenci İşleri,Diplomamı benim yerime bir başkası alabilir mi?, Diplomanızın sizin yerinize bir başkasının alabilmesi için ilgili kişiye noter vekâleti vermiş olmanız gerekir.
Lisans/Önlisans Öğrenci İşleri,"Diploma Eki nedir, nasıl alabilirim?"," Diploma Eki (DE) Yükseköğretim Kurumları tarafından diplomanın yanı sıra verilen tamamlayıcı ve açıklayıcı bir belgedir. Diploma Eki, üniversite mezunlarının aldıkları eğitimin diğer ülke ve eğitim sistemlerinde tanıtılmasına yardımcı olmakta; aynı zamanda mezunun aldığı akademik derece, düzeyi, içeriği ve mesleki yetkinlikler hakkında detaylı bilgi vermektedir Diploma eki, İstanbul Bilgi Üniversitesi’nden mezun olan tüm öğrencilere otomatik ve ücretsiz olarak, yaygın kullanılan bir Avrupa dilinde (İngilizce) hazırlanmaktadır. Diplomanızla beraber belgeniz e-mailinize elektronik imzalı olarak gönderilecektir. Diploma Eki’nin Öğrenciler için Faydaları: • Yurtdışında daha kolay anlaşılan ve kıyaslanabilen bir diplomaya sahip olunması. • Öğrencinin akademik gelişimi ve öğrenimi boyunca kazandığı yeterliliklerin kusursuz bir tanımını içermesi. • Öğrencinin başarı ve yeterliklerinin tarafsız bir ifade olması. • İş imkânlarına veya ileri seviyedeki yurtdışı eğitim olanaklarına daha kolay erişim sağlanması. • İstihdam edilmeyi desteklemesi."
Lisans/Önlisans Öğrenci İşleri,"Diplomamı kaybettim, yeni diploma alabilir miyim?", Kayıp diploma talepleri mezuniyeti hangi yıl olursa olsun e-imzalı olarak hazırlanmaktadır. Kayıp diplomasını sadece e-imzalı olarak isteyenlerden ücret alınmayacaktır. Kayıp diplomasını e-imzalı ve basılı olarak talep edenlerin ise üniversitemiz hesabına 100 TL yatırmaları gerekmektedir.
Lisans/Önlisans Öğrenci İşleri,Mezuniyet başarı sıralamamı öğrenebilir miyim?, Mezuniyet başarı sıralamanızı Öğrenci İşleri ofislerinden öğrenebilir ya da Öğrenci Sayfanız’dan belge talep işlemi ile “diğer” belgeler başlığından yazılı olarak talep edebilirsiniz.
Lisans/Önlisans Öğrenci İşleri,"Onur ve Yüksek Onur Listesi nedir, nasıl girebilirim?"," Lisans öğrencileri için; Öğrenimlerini en çok sekiz yarıyılda, 3.50 veya daha yüksek GNO ile tamamlayanlar yüksek onur, 3.00 ile 3.49 arasında GNO ile tamamlayanlar onur listesine alınırlar. Bu durumlarını belirten özel bir belge kendilerine diplomaları ile birlikte verilir. Ancak, disiplin cezası almış olan öğrenciler bu listelere alınmazlar. Sekiz yarıyıllık sürenin hesaplanmasında uluslararası öğrenci değişim programı kapsamında yurtdışında okunan süreler dikkate alınmaz. Bu süre, İngilizce yeterliğini sağlayarak bahar yarıyılında lisans öğrenimine başlayan öğrenciler için dokuz yarıyıl olarak uygulanır. Önlisans öğrencileri için; Öğrenimlerini en çok dört yarıyılda, 3.50 veya daha yüksek GNO ile tamamlayanlar yüksek onur, 3.00 ile 3.49 arasında GNO ile tamamlayanlar onur listesine alınırlar. Bu durumlarını belirten özel bir belge kendilerine diplomaları ile birlikte verilir. Ancak disiplin cezası almış olan öğrenciler bu listelere alınmazlar."
Lisans/Önlisans Öğrenci İşleri,Mezuniyet törenlerine kim katılabilir?," İlgili Akademik Yılın sonunda yapılacak mezuniyet törenlerine daha önceki akademik yıllarda kredilerini tamamlayıp mezuniyet hakkı elde eden öğrencilerimiz ile  ilgili Akademik Yılın Bahar Dönemi başında; lisans programlarında 8. (sekizinci) döneminde, önlisans programlarında ise 4. (dördüncü)döneminde olan öğrencilerimiz mezuniyet törenlerine katılabilirler. İlgili Akademik Yılın Bahar Dönemi'nde, lisans programlarında 7. (yedinci); önlisans programlarında ise 3. (üçünçü) döneminde olan öğrencilerimiz ise ancak bir sonraki güz dönemi sonunda mezun olmaları durumunda ve bağlı oldukları fakülte veya yüksekokul kurullarına yapacakları yazılı başvuru sonrasında alınacak karara göre mezuniyet töreni listelerinde yer alabileceklerdir. "
Lisans/Önlisans Öğrenci İşleri,Üniversitemizde Yaz Okulu / Yaz Okulunda kaç ders alabilirim?," Yaz okulu takvimi ve ders bilgileri her yıl ilgili dönem öncesinde web’de yayınlanır. Bir yaz öğretimi döneminde başka Yüksek Öğretim kurumlarının yaz okulları ile Üniversitenin yaz okullarından alınabilecek derslerin toplam sayısı bir akademik yılda üçü, toplam AKTS kredi karşılığı da 21'i aşamaz."
Lisans/Önlisans Öğrenci İşleri,Mezuniyet törenleri ne zaman yapılır?, Mezuniyet törenleri bahar dönemi final sınavları sonrasında yapılır. Mezuniyet tören tarihleri Üniversite Yönetim Kurulu tarafından belirlenerek üniversitenin web sayfasında ilan edilir.
Lisans/Önlisans Öğrenci İşleri,Dışarıdan yaz okulundan nasıl ders alabilirim?," Fakülte, yüksek okul ve meslek yüksek okulu yönetim kurulları bu Yönergede belirlenen ders ve kredi sayısının altında olmak kaydıyla başka yüksek öğretim kurumlarından alınabilecek azami ders ve kredi sayısı, ders alınması için asgari genel not ortalaması, hangi yarıyıl, sınıf veya durumdaki öğrencilerin ders alabilecekleri, koşullu geçer notlu derslerin alınıp alınamayacağı gibi koşulları belirleme konusunda yetkilidir. Detaylar için linki tıklayınız."
Lisansüstü Öğrenci İşleri,Lisansüstü Öğrenci İşleri Ofisi çalışma saatleri nedir?, Akademik yıl boyunca haftaiçi 09:00-19:30/ Cumartesi 09:30-14:30. Yaz ve ara tatil döneminde haftaiçi 09:00-18:00
Lisansüstü Öğrenci İşleri,Lisansüstü Öğrenci İşleri Ofisi iletişim bilgileri nedir?," Lisansüstü Öğrenci İşleri Ofisi’ne aşağıdaki iletişim kanallarından ulaşılabilirsiniz:  santralistanbul Kampüsü, L1 binası Eski Silahtarağa Elektrik Santralı Kazım Karabekir Cad. No: 2/13 34060 Eyüp İstanbul 0212 311 73 57 – 0212 311 71 76  lisansustu@bilgi.edu.tr"
Lisansüstü Öğrenci İşleri,Lisansüstü programlara başvuru süreci nasıl ilerler?, Programlara başvuru Üniversite tarafından belirlenen tarihlerde internet sitemizde yer alan başvuru formu doldurularak yapılır. Programlar başvurusunu tamamlayan adaylarla değerlendirme süreciyle ilgili iletişime geçerler.
Lisansüstü Öğrenci İşleri,Kayıt süreci nasıl ilerler?," Başvurusu kabul edilen adaylar, evrak teslimi ve ödeme işlemleri için Lisansüstü Öğrenci İşleri Ofisi ve Mali İşler Ofisi ile iletişime geçebilirler."
Lisansüstü Öğrenci İşleri,Kayıt için gerekli belgeler nelerdir?," Geçici mezuniyet belgesi, e-devlet mezun belgesi ya da diplomanın noter onaylı fotokopisi (Aslı görülmek suretiyle fotokopisi, aslı gibidir kopyası, noter onaylı örneği;Doktora programları için yüksek lisans diploması ya da geçici mezuniyet belgesi). Lisans veya Yüksek Lisans derecesini yurt dışından alanlar için denklik belgesi. Resmi not dökümü (Transcript). Güncel tarihli askerlik durum belgesi. ALES / GMAT / GRE Sonuç Belgesi (Doktora programlarına ve Tezli programlara kayıt olan veya Program tarafından sınav sonuç belgesi istenen adaylar için). İngilizce / Dil yeterlik belgesi (Eğitim dili İngilizce olan Tezsiz Yüksek Lisans programları için, Tezli Yüksek  Lisans programları için TOEFL ,YDS, e-YDS  veya BİLET 3   sonucu, Doktora programları için TOEFL, YDS  veya e-YDS sonucu ). Yabancı Uyruklu Öğrenciler için: Lisans diplomasının noter onaylı fotokopisi (Doktora programları için yüksek lisans diploması ). YÖK onaylı diploma denklik belgesi. Resmi not dökümü (transkript). GRE ya da GMAT belgesinin aslı (Program’ın talep etmesi halinde). Pasaportun ilgili sayfalarının fotokopisi (kimlik bilgileri)."
Lisansüstü Öğrenci İşleri,Kayıt için gerekli belgeleri ofisinize gelemediğim durumlarda nasıl ulaştırabilirim?," Belgeleri noter onayı bulunmak suretiyle kargo ile ofisimize iletebilirsiniz. Dosyanız hazırlanıp sizinle iletişime geçilecektir. Adres : santralistanbul Kampüsü, L1 binası Eski Silahtarağa Elektrik Santrali Kazım Karabekir Cad. No: 2/13 34060 Eyüp İstanbul "
Lisansüstü Öğrenci İşleri,Burs olanakları ile ilgili hangi birim ile görüşmeliyim?, Burslu kontenjanı olan programlar için program koordinatörü ile iletişime geçebilirsiniz.
Lisansüstü Öğrenci İşleri,Özel öğrenci olarak belli derslere kayıt yaptırmam mümkün mü?," Üniversitemizde sunulan bazı derslere, programın uygun görmesi üzerine özel öğrenci olarak kayıt yaptırabilirsiniz. Kayıt yaptırmak için herhangi bir üniversitede Lisansüstü öğrenci olmak koşulu ile program koordinatörü ve ilgili dersin öğretim görevlisinden onay alarak Enstitü Yönetim Kurulu’na dilekçe ile başvurabilirsiniz. Dilekçe ekinde güncel öğrenci belgesi ve transkript bulunmalıdır. "
Lisansüstü Öğrenci İşleri,Öğrenci İşleri ofisinden hangi belgeleri alabilirim?," Lisansüstü Öğrenci İşleri’nden disiplin belgesi, öğrenci kimlik kartı, basılı diploma alabilirsiniz."
Lisansüstü Öğrenci İşleri,Öğrenci belgesi ve not dökümünü (transcript) nasıl talep edebilirim?, https://sis.bilgi.edu.tr öğrenci sayfasında ‘Belge Talep/Document Request’ kısmından not dökümü (transcript) ve öğrenci belgesi talep edebilirsiniz. Belgeler elektronik imza ile hazırlanıp öğrenci sayfasınadaki e-imzalı belgelerim alanına yüklenmekte ve bilgiedu.net uzantılı e-mail adresine gönderilmektedir.
Lisansüstü Öğrenci İşleri,Belgelerimi benim yerime başka bir kişi alabilir mi?, Bu talebinizi lisansustu@bilgi.edu.tr adresine e-mail göndererek iletmeniz gerekmektedir.
Lisansüstü Öğrenci İşleri,"Diplomamı kaybettim, yeni diploma almak için ne yapmalıyım?"," Elektronik imzalı olarak talep edilmesi durumunda lisansustu@bilgi.edu.tr adresine mail ile başvuru yapabilirsiniz. Basılı olarak talep edilmesi durumunda;  İstanbul Bilgi Üniversitesi diplomanız için herhangi bir gazeteye ” ..... makamca ..... tarihte ..... numara ile düzenlenen diplomamı kaybettim, yenisini alacağımdan eskisi hükümsüzdür.” şeklinde bir ilan ile aşağıdaki hesap numarasına 100 TL. yatırarak Lisansüstü Öğrenci İşleri’ne şahsen başvuru yapmanız gerekmektedir. TL HESAP Banka: Garanti Bankası Şube: Çağlayan  Şube Kodu: 403 Hesap no: 6201302 IBAN: TR20 0006 2000 4030 0006 2013 02 Hesap Adı: İstanbul Bilgi Üniversitesi"
Lisansüstü Öğrenci İşleri,Mezuniyet başarı sıralamamı öğrenebilir miyim?, Başarı sıralaması Üniversite tarafından hazırlanan bir yazı şeklinde bildirilir. Sıralama yazısı talep etmek için Lisansüstü Öğrenci İşleri Ofisi ile iletişime geçmeniz gerekmektedir. Başarı sıralamasını gösteren yazı yalnızca mezun öğrenciler için hazırlanmaktadır.
Lisansüstü Öğrenci İşleri,"Diploma Eki nedir, nasıl alabilirim?"," Diploma ile birlikte verilen diploma eki; aldığınız dersleri, bu derslerin not karşılığını, mezun olduğunuz programın derecesini, derecenin size hangi statü ve yetkinlikleri kazandırdığını gösteren belgedir. Diplomanızla birlikte teslim edilir."
